SpGnss : begin inSpGnss : begin outSpGnss : start in  mode = COLD_STARTSpGnss : start outGnss setup OK
1980/01/06 00:00:01.000607, numSat: 0, No-Fix, No Position
1980/01/06 00:00:02.000609, numSat: 1, No-Fix, No Position
1980/01/06 00:00:03.000634, numSat: 1, No-Fix, No Position
1980/01/06 00:00:04.000629, numSat: 1, No-Fix, No Position
1980/01/06 00:00:05.000617, numSat: 1, No-Fix, No Position
1980/01/06 00:00:06.000612, numSat: 1, No-Fix, No Position
1980/01/06 00:00:07.000604, numSat: 1, No-Fix, No Position
1980/01/06 00:00:08.000628, numSat: 1, No-Fix, No Position
1980/01/06 00:00:09.000621, numSat: 1, No-Fix, No Position
1980/01/06 00:00:10.000615, numSat: 1, No-Fix, No Position
1980/01/06 00:00:11.000608, numSat: 1, No-Fix, No Position
1980/01/06 00:00:12.000602, numSat: 1, No-Fix, No Position
1980/01/06 00:00:13.000626, numSat: 1, No-Fix, No Position
1980/01/06 00:00:14.000620, numSat: 1, No-Fix, No Position
1980/01/06 00:00:15.000616, numSat: 1, No-Fix, No Position
1980/01/06 00:00:16.000607, numSat: 1, No-Fix, No Position
1980/01/06 00:00:17.000631, numSat: 1, No-Fix, No Position
1980/01/06 00:00:18.000625, numSat: 2, No-Fix, No Position
1980/01/06 00:00:19.000618, numSat: 2, No-Fix, No Position
1980/01/06 00:00:20.000612, numSat: 2, No-Fix, No Position
1980/01/06 00:00:21.000605, numSat: 2, No-Fix, No Position
1980/01/06 00:00:22.000629, numSat: 2, No-Fix, No Position
1980/01/06 00:00:23.000623, numSat: 2, No-Fix, No Position
1980/01/06 00:00:24.000618, numSat: 2, No-Fix, No Position
1980/01/06 00:00:25.000609, numSat: 2, No-Fix, No Position
1980/01/06 00:00:26.000633, numSat: 3, No-Fix, No Position
1980/01/06 00:00:27.000624, numSat: 3, No-Fix, No Position
1980/01/06 00:00:28.000616, numSat: 3, No-Fix, No Position
1980/01/06 00:00:29.000624, numSat: 3, No-Fix, No Position
SpGnss : begin inSpGnss : begin outSpGnss : start in  mode = COLD_STARTSpGnss : start outGnss setup OK
1980/01/06 00:00:01.000635, numSat: 0, No-Fix, No Position
1980/01/06 00:00:02.000635, numSat: 2, No-Fix, No Position
1980/01/06 00:00:03.000625, numSat: 3, No-Fix, No Position
1980/01/06 00:00:04.000616, numSat: 3, No-Fix, No Position
1980/01/06 00:00:05.000603, numSat: 3, No-Fix, No Position
1980/01/06 00:00:06.000624, numSat: 3, No-Fix, No Position
1980/01/06 00:00:07.000615, numSat: 3, No-Fix, No Position
1980/01/06 00:00:08.000606, numSat: 3, No-Fix, No Position
1980/01/06 00:00:09.000627, numSat: 3, No-Fix, No Position
1980/01/06 00:00:10.000618, numSat: 3, No-Fix, No Position
1980/01/06 00:00:11.000610, numSat: 3, No-Fix, No Position
1980/01/06 00:00:12.000630, numSat: 3, No-Fix, No Position
1980/01/06 00:00:13.000621, numSat: 3, No-Fix, No Position
1980/01/06 00:00:14.000612, numSat: 3, No-Fix, No Position
1980/01/06 00:00:15.000603, numSat: 3, No-Fix, No Position
1980/01/06 00:00:16.000625, numSat: 3, No-Fix, No Position
1980/01/06 00:00:17.000617, numSat: 3, No-Fix, No Position
1980/01/06 00:00:18.000607, numSat: 3, No-Fix, No Position
1980/01/06 00:00:19.000628, numSat: 3, No-Fix, No Position
1980/01/06 00:00:20.000619, numSat: 3, No-Fix, No Position
1980/01/06 00:00:21.000611, numSat: 3, No-Fix, No Position
1980/01/06 00:00:22.000606, numSat: 3, No-Fix, No Position
1980/01/06 00:00:23.000629, numSat: 4, No-Fix, No Position
1980/01/06 00:00:24.000621, numSat: 5, No-Fix, No Position
1980/01/06 00:00:25.000613, numSat: 4, No-Fix, No Position
1980/01/06 00:00:26.000604, numSat: 3, No-Fix, No Position
1980/01/06 00:00:27.000626, numSat: 3, No-Fix, No Position
1980/01/06 00:00:28.000618, numSat: 3, No-Fix, No Position
1980/01/06 00:00:29.000640, numSat: 4, No-Fix, No Position
1980/01/06 00:00:30.000635, numSat: 4, No-Fix, No Position
1980/01/06 00:00:31.000627, numSat: 3, No-Fix, No Position
1980/01/06 00:00:32.000620, numSat: 3, No-Fix, No Position
1980/01/06 00:00:33.000637, numSat: 3, No-Fix, No Position
1980/01/06 00:00:34.000628, numSat: 3, No-Fix, No Position
1980/01/06 00:00:35.000621, numSat: 3, No-Fix, No Position
1980/01/06 00:00:36.000612, numSat: 3, No-Fix, No Position
1980/01/06 00:00:37.000604, numSat: 3, No-Fix, No Position
1980/01/06 00:00:38.000626, numSat: 4, No-Fix, No Position
